Program,prismRes,modelCheckingTime,modelConstructionTime,terminalRealTime,terminalUserTime,terminalSysTime
assignments_233.pgcl,false,0.125,0.091,1.739,1.582,0.156
assignments_234.pgcl,true,0.06,0.092,1.825,1.545,0.157
assignments_235.pgcl,true,0.067,0.074,1.86,1.466,0.153
assignments_236.pgcl,true,0.07,0.061,1.851,1.498,0.145
assignments_237.pgcl,true,0.054,0.077,1.793,1.497,0.146
assignments_238.pgcl,true,0.057,0.09,1.799,1.659,0.154
assignments_239.pgcl,false,0.07,0.085,1.755,1.53,0.151
assignments_240.pgcl,true,0.056,0.076,1.805,1.52,0.155
assignments_241.pgcl,true,0.067,0.079,1.823,1.528,0.149
assignments_242.pgcl,true,0.059,0.079,1.88,1.554,0.151
assignments_243.pgcl,true,0.076,0.082,1.747,1.544,0.151
assignments_244.pgcl,false,0.062,0.105,1.763,1.529,0.156
assignments_245.pgcl,false,0.075,0.093,1.772,1.568,0.151
assignments_246.pgcl,false,0.072,0.081,1.839,1.528,0.155
assignments_247.pgcl,false,0.075,0.088,1.845,1.547,0.156
assignments_248.pgcl,false,0.069,0.074,1.8,1.548,0.146
assignments_249.pgcl,false,0.069,0.083,1.77,1.566,0.158
assignments_250.pgcl,false,0.104,0.078,1.758,1.593,0.156
assignments_251.pgcl,false,0.061,0.082,1.786,1.56,0.15
assignments_252.pgcl,false,0.064,0.086,1.786,1.67,0.152
assignments_253.pgcl,false,0.068,0.092,1.772,1.625,0.159
assignments_254.pgcl,true,0.055,0.092,1.731,1.602,0.152
assignments_255.pgcl,true,0.076,0.087,1.754,1.665,0.155
assignments_256.pgcl,false,0.062,0.099,1.777,1.624,0.153
assignments_257.pgcl,false,0.07,0.087,1.82,1.616,0.155
assignments_258.pgcl,true,0.071,0.078,1.846,1.631,0.15
assignments_259.pgcl,true,0.076,0.084,1.768,1.613,0.159
assignments_260.pgcl,true,0.075,0.087,1.767,1.688,0.149
assignments_261.pgcl,false,0.066,0.083,1.825,1.505,0.146
assignments_262.pgcl,false,0.109,0.063,1.819,1.647,0.157
assignments_263.pgcl,false,0.056,0.077,1.812,1.492,0.148
assignments_264.pgcl,false,0.06,0.074,1.775,1.574,0.144
assignments_265.pgcl,false,0.066,0.105,1.785,1.659,0.158
assignments_266.pgcl,false,0.093,0.099,1.784,1.629,0.152
assignments_267.pgcl,true,0.06,0.085,1.791,1.601,0.159
assignments_268.pgcl,false,0.072,0.091,1.893,1.642,0.156
assignments_269.pgcl,true,0.065,0.093,1.835,1.693,0.163
assignments_270.pgcl,true,0.081,0.081,1.79,1.61,0.146
assignments_271.pgcl,false,0.07,0.081,1.792,1.612,0.151
assignments_272.pgcl,false,0.079,0.081,1.748,1.636,0.144
assignments_273.pgcl,false,0.064,0.086,1.817,1.616,0.154
assignments_274.pgcl,false,0.061,0.083,1.803,1.506,0.147
assignments_275.pgcl,true,0.066,0.064,1.837,1.505,0.146
assignments_276.pgcl,false,0.059,0.094,1.756,1.58,0.158
assignments_277.pgcl,true,0.062,0.102,1.799,1.603,0.148
assignments_278.pgcl,false,0.089,0.1,1.856,1.717,0.159
assignments_279.pgcl,true,0.083,0.107,1.761,1.642,0.155
assignments_280.pgcl,false,0.067,0.086,1.815,1.696,0.158
assignments_281.pgcl,true,0.083,0.081,1.793,1.619,0.147
assignments_282.pgcl,false,0.071,0.097,1.779,1.654,0.152
assignments_283.pgcl,true,0.08,0.1,1.768,1.62,0.15
assignments_284.pgcl,false,0.088,0.093,1.75,1.556,0.147
assignments_285.pgcl,false,0.067,0.087,1.853,1.578,0.152
assignments_286.pgcl,false,0.062,0.09,1.819,1.595,0.15
assignments_287.pgcl,true,0.084,0.072,1.782,1.601,0.16
assignments_288.pgcl,false,0.078,0.101,1.822,1.734,0.162
assignments_289.pgcl,false,0.1,0.128,1.761,1.705,0.158
assignments_290.pgcl,true,0.08,0.084,1.806,1.635,0.157
assignments_291.pgcl,false,0.064,0.077,1.843,1.632,0.15
assignments_292.pgcl,true,0.067,0.092,1.778,1.66,0.159
assignments_293.pgcl,false,0.074,0.1,1.748,1.647,0.156
assignments_294.pgcl,false,0.079,0.114,1.776,1.652,0.151
assignments_295.pgcl,false,0.095,0.08,1.796,1.627,0.154
assignments_296.pgcl,false,0.07,0.087,1.795,1.606,0.151
assignments_297.pgcl,false,0.106,0.09,1.812,1.676,0.16
assignments_298.pgcl,true,0.069,0.093,1.825,1.737,0.159
assignments_299.pgcl,false,0.254,0.171,1.722,2.267,0.177
